,0
1311,FAST
1312,CATY
1313,ADSK
1314,SCI
1315,IFS
1316,JUST
1317,CAPL
1318,UMBF
1319,MGEE
1320,LULU
1321,PEGA
1322,AL
1323,ACAD
1324,FET
1325,REGN
1326,SPH
1327,NTGR
1328,YUMC
1329,MCRI
1330,FNF
1331,C
1332,MAG
1333,VTR
1334,BHB
1335,VRN
1336,STRAX
1337,J
1338,NX
1339,SWI
1340,SCS
1341,KOP
1342,CPNG
1343,FFBC
1344,DVAX
1345,ELMA
1346,UE
1347,IIIV
1348,CMRE
1349,NDAQ
1350,SNDR
1351,BPMC
1352,AMGN
1353,ULTA
1354,ODFL
1355,AKR
1356,INCO
1357,SLX
1358,IGMS
1359,NYT
1360,BSRR
1361,KLTR
1362,SFBS
1363,DCI
1364,CBNK
1365,ATLC
1366,NXST
1367,HUBG
1368,SVM
1369,MSA
1370,TEAM
1371,GOGL
1372,TRMK
1373,WKC
1374,HTB
1375,CCOI
1376,SLG
1377,WDAY
1378,CNP
1379,NJR
1380,ESTA
1381,AAMI
1382,RF
1383,STGW
1384,AZN
1385,HUYA
1386,BTE
1387,ASB
1388,SCD
1389,CFR
1390,KRP
1391,TTWO
1392,OTTR
1393,HSII
1394,WSFS
1395,PECO
1396,HBAN
1397,INTU
1398,DSGN
1399,CAE
1400,AMD
1401,GEN
1402,RBBN
1403,FA
1404,STT
1405,ITP
1406,DLN
1407,CVBF
1408,GAM
1409,SPR
1410,TKR
1411,IVT
1412,CCS
1413,HRMY
1414,TCBK
1415,CUBI
1416,BRX
1417,DIA
1418,DT
1419,NTES
1420,ESI
1421,WTS
1422,RH
1423,VABK
1424,EBS
1425,AXTA
1426,SPG
1427,MU
1428,FCX
1429,CCCS
1430,ABUS
1431,CPF
1432,FMAO
1433,INZY
1434,DOX
1435,FCF
1436,MTX
1437,MNST
1438,MGNX
1439,TOWN
1440,OI
1441,PSL
1442,AUB
1443,BY
1444,ICE
1445,PRU
1446,ZION
1447,WAT
1448,MAS
1449,BASE
1450,WBS
1451,MTUS
1452,TTE
1453,RY
1454,CDP
1455,SAND
1456,BSY
1457,CG
1458,JHG
1459,REZI
1460,EQL
1461,FHI
1462,THO
1463,VIG
1464,VCM
1465,SVT
1466,ONC
1467,MSCI
1468,NNI
1469,MCB
1470,HAFC
1471,EXAS
1472,PFG
1473,FFIV
1474,DGICA
1475,SPGI
1476,WDC
1477,EPRT
1478,INDA
1479,WDFC
1480,CNS
1481,STR
1482,FELE
1483,SWTX
1484,JNPR
1485,ARCB
1486,NBR
1487,DLR
1488,CM
1489,HFWA
1490,WDS
1491,LANC
1492,QSR
1493,SJ
1494,WMS
1495,OZK
1496,GGG
1497,MO
1498,CNA
1499,UBSI
1500,EA
1501,HON
1502,API
1503,ROP
1504,KMDA
1505,SB
1506,PHO
1507,FSBC
1508,PBFS
1509,CCRN
1510,RRBI
1511,OTIS
1512,GEL
1513,EBF
1514,PFIS
1515,CASS
1516,LOUP
1517,SMTC
1518,GEF
1519,HII
1520,FAB
1521,ESCA
1522,CRBN
1523,PPH
1524,SII
1525,RKT
1526,MRT
1527,SHO
1528,OGE
1529,ASML
1530,PB
1531,GABC
1532,CHWY
1533,DOV
1534,ENB
1535,RLGT
1536,TDY
1537,WMK
1538,SNX
1539,SRDX
1540,OLED
1541,TVTX
1542,PLAY
1543,BKU
1544,NBHC
1545,PCTY
1546,HST
1547,GCO
1548,PAAS
1549,BHLB
1550,SWX
1551,VOYA
1552,FRPH
1553,BOKF
1554,PPL
1555,JLL
1556,FBNC
1557,AOSL
1558,JKI
1559,NVCR
1560,CFB
1561,GRF
1562,THFF
1563,NC
1564,WK
1565,GSBC
1566,FDM
1567,OEC
1568,PAYX
1569,PFI
1570,UVSP
1571,TNC
1572,KBE
1573,MCD
