Date de Scoring,Identifiant Bloomberg Company,ISSUER_EQUITY_TICKER,Nom de l'émetteur,Identifiant sous industrie GICS,Groupe Industrie GICS,Pays,Score ESG brut
2 avr. 2025,8424695,VED LN,Vedanta Resources Ltd,15104020,Materials,GB,9.774744327
2 avr. 2025,8427706,KRO US,Kronos Worldwide Inc.,15101010,Materials,US,9.884129904
2 avr. 2025,8428015,2790 JP,NAFCO Co. Ltd.,25504030,Retailing,JP,3.673895956
2 avr. 2025,8430175,2384 JP,SBS Holdings Inc.,20301010,Transportation,JP,10.6380109
2 avr. 2025,8430183,2791 JP,Daikokutenbussan Co. Ltd.,30101030,Food & Staples Retailing,JP,2.920550079
2 avr. 2025,8430191,2792 JP,HONEYS Holdings Co. Ltd.,25504010,Retailing,JP,6.913411006
2 avr. 2025,8432795,2379 JP,dip Corp,20202010,Commercial & Professional Services,JP,10.96311327
2 avr. 2025,8432931,NST AU,Northern Star Resources Ltd.,15104030,Materials,AU,10.51907412
2 avr. 2025,8433051,JDSL IN,Jindal Stainless Ltd.,15104050,Materials,IN,8.883954775
2 avr. 2025,8436902,HIP SP,Hi-P International Pte Ltd,45203015,Technology Hardware & Equipment,SG,10.87520648
2 avr. 2025,8437118,WSKT IJ,PT Waskita Karya (Persero) Tbk,20103010,Capital Goods,ID,13.65277589
2 avr. 2025,8438386,777 HK,NetDragon Websoft Holdings Ltd.,45103020,Software & Services,CN,10.07329752
2 avr. 2025,8439219,3433 JP,TOCALO Co. Ltd.,20106020,Capital Goods,JP,10.36165875
2 avr. 2025,8445263,AGR LN,Assura Plc,60101050,Real Estate,GB,7.122159846
2 avr. 2025,8445267,VIVE SS,Vivesto AB,35201010,"Pharmaceuticals, Biotechnology & Life Sciences",SE,4.738939245
2 avr. 2025,844590,SBICARD IN,SBI Cards & Payment Services Ltd.,40202010,Diversified Financials,IN,10.27416194
2 avr. 2025,8445936,MTX GR,MTU Aero Engines AG,20101010,Capital Goods,DE,10.16023758
2 avr. 2025,844615,GOAGRO IN,Godrej Agrovet Ltd.,30202010,"Food, Beverage & Tobacco",IN,9.961282764
2 avr. 2025,8446768,NOA CN,North American Construction Group Ltd.,10101020,Energy,CA,5.540839623
2 avr. 2025,8447436,3260 TT,ADATA Technology Co. Ltd.,45301020,Semiconductors & Semiconductor Equipment,TW,9.976213468
2 avr. 2025,845397,3133630Z FP,Crédit Logement SA,40202010,Diversified Financials,FR,4.867077827
2 avr. 2025,8466967,2333 HK,Great Wall Motor Co. Ltd.,25102010,Automobiles & Components,CN,6.751031537
2 avr. 2025,847078,2628 HK,China Life Insurance Co. Ltd.,40301020,Insurance,CN,6.297284009
2 avr. 2025,847481,CTT PL,CTT - Correios de Portugal SA,20301010,Transportation,PT,11.9855664
2 avr. 2025,847547,PGAS IJ,PT Perusahaan Gas Negara Tbk,55102010,Utilities,ID,14.54377604
2 avr. 2025,847596,1359 HK,China Cinda Asset Management Co. Ltd.,40203010,Diversified Financials,CN,5.817944998
2 avr. 2025,847813,TPE GR,PVA TePla AG,45301010,Semiconductors & Semiconductor Equipment,DE,7.482929081
2 avr. 2025,847909,RDWR US,Radware Ltd,45103020,Software & Services,IL,11.91401059
2 avr. 2025,8485083,TCOM US,Tripcom Group Ltd,25301020,Consumer Services,CN,10.66163536
2 avr. 2025,8490771,PCB US,PCB Bancorp,40101015,Banks,US,2.971894295
2 avr. 2025,8490836,8960 JP,United Urban Investment Corp.,60101010,Real Estate,JP,10.43999237
2 avr. 2025,8490880,AIRARABI UH,Air Arabia PJSC,20302010,Transportation,AE,4.103309036
2 avr. 2025,8494238,JEP SP,JEP Holdings Ltd,20101010,Capital Goods,SG,7.246218552
2 avr. 2025,8494795,688396 CH,China Resources Microelectronics Ltd.,45301020,Semiconductors & Semiconductor Equipment,CN,5.300292639
2 avr. 2025,8500223,3141 TT,UltraChip Inc.,45301020,Semiconductors & Semiconductor Equipment,TW,9.178456338
2 avr. 2025,8501652,PSSA3 BZ,Porto Seguro SA,40301030,Insurance,BR,12.56917728
2 avr. 2025,8502156,NRG US,NRG Energy Inc,55101010,Utilities,US,8.625782914
2 avr. 2025,850249,OBK US,Origin Bancorp Inc.,40101015,Banks,US,6.975511449
2 avr. 2025,8503408,2899 HK,Zijin Mining Group Co. Ltd.,15104030,Materials,CN,10.88977551
2 avr. 2025,8504831,600446 CH,Shenzhen Kingdom Sci-tech Co. Ltd.,45103010,Software & Services,CN,5.797224548
2 avr. 2025,8505599,668730Z US,,,,,9.429623995
2 avr. 2025,8507336,AOT TB,Airports of Thailand Public Co. Ltd.,20305010,Transportation,TH,14.37958699
2 avr. 2025,8509512,ASAI3 BZ,Sendas Distribuidora SA,30101030,Food & Staples Retailing,BR,10.86480266
2 avr. 2025,8512046,ITV LN,ITV Plc,50201020,Media & Entertainment,GB,11.78565609
